"Model","CandidateID","Architecture","Learning_rate","L1","L2","Inner_folds_ok","Mean_RMSE","Mean_Correlation","Mean_MAE","Median_EarlyStop_epoch","Max_Last_epoch","N_epoch_ceiling","Status","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_L1_L2",8,"64-32",0.000125,1e-04,1e-04,4,2.06060819034827,0.442023086896086,1.64456650279352,25.5,78,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",9,"64-32",0.000125,0.001,1e-04,4,2.03878790697814,0.459147036213153,1.62584668108463,33,158,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",10,"64-32",0.000125,0.01,1e-04,4,1.92450905324366,0.524820291724506,1.54077050938228,483,660,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",11,"64-32",0.000125,0.03,1e-04,4,2.27833566284847,0.371288355202359,1.83971103445115,110,144,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",12,"64-32",0.000125,0.1,1e-04,4,2.27342159592604,NA,1.83253710099913,1049.5,2000,2,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",13,"64-32",0.000125,1e-05,0.001,4,2.04983893076258,0.449789607936933,1.63777989222406,30,81,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",14,"64-32",0.000125,1e-04,0.001,4,2.05665077449239,0.443791567517933,1.64207997201472,25,75,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",15,"64-32",0.000125,0.001,0.001,4,2.03201767721002,0.469205088041648,1.6194583560302,40,307,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",16,"64-32",0.000125,0.01,0.001,4,1.9258273700623,0.524301480717166,1.54244036421305,494,589,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",17,"64-32",0.000125,0.03,0.001,4,2.27841433272437,0.371377018418918,1.83976036363227,110,145,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",18,"64-32",0.000125,0.1,0.001,4,2.27342016153751,NA,1.83253545114952,1051,2000,2,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",19,"64-32",0.000125,1e-05,0.01,4,2.05777585149016,0.443249314230622,1.64321594441681,24.5,78,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",20,"64-32",0.000125,1e-04,0.01,4,2.05254451138298,0.446096086046029,1.63897201363466,26,75,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",21,"64-32",0.000125,0.001,0.01,4,2.03958350110727,0.460466309144346,1.62337473377588,34.5,206,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",22,"64-32",0.000125,0.01,0.01,4,1.93088645379206,0.519203442886955,1.54715029712669,592,762,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",23,"64-32",0.000125,0.03,0.01,4,2.27855884098707,0.369108079645868,1.83999568484516,108,143,0,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_L1_L2",24,"64-32",0.000125,0.1,0.01,4,2.27341799652645,NA,1.83253540823157,1048.5,2000,2,"ok","C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",1,"2",0.000125,0,0,4,2.28062815671317,0.364504175838982,1.84149324377916,56,159,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",2,"4",0.000125,0,0,4,2.2382088373911,0.418853852798365,1.77834551484701,35,184,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",3,"8",0.000125,0,0,4,2.12660866347228,0.421110491264519,1.70146165009545,36.5,92,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",4,"16",0.000125,0,0,4,2.14889961861104,0.426492332720773,1.7432934069466,44,106,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",5,"32",0.000125,0,0,4,2.12604188027866,0.415892508597468,1.69617968487655,12.5,57,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",6,"8-4",0.000125,0,0,4,2.19209270985542,0.371085256440612,1.77068141328391,64,132,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",7,"16-8",0.000125,0,0,4,2.19225488109506,0.404515072317243,1.7672833767766,39.5,114,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",8,"32-16",0.000125,0,0,4,2.1031072109568,0.439892037863894,1.67485075787876,48,97,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",9,"64-32",0.000125,0,0,4,2.11837134816666,0.435302733458114,1.68484191608545,42,100,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",10,"2",0.00025,0,0,4,2.29948185115003,0.363432654901381,1.85513219141342,33,90,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",11,"4",0.00025,0,0,4,2.25213927594893,0.420017701822753,1.79424399666247,22.5,108,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",12,"8",0.00025,0,0,4,2.13538949866337,0.414010073207506,1.70804971824114,12,56,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",13,"16",0.00025,0,0,4,2.15964227971182,0.414018068823327,1.74799637641123,15.5,59,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",14,"32",0.00025,0,0,4,2.13327714815042,0.413289728315669,1.70267174651805,7,45,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",15,"8-4",0.00025,0,0,4,2.20323086928072,0.381750627321704,1.77950496589755,34.5,278,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",16,"16-8",0.00025,0,0,4,2.19565963059265,0.404313843260047,1.76784464696404,23,74,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",17,"32-16",0.00025,0,0,4,2.12085911495384,0.434896254859303,1.69152715950495,23.5,62,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",18,"64-32",0.00025,0,0,4,2.12700247051998,0.428529057927913,1.68960026778207,19,50,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",19,"2",5e-04,0,0,4,2.32188287574582,0.363906589951593,1.87404282964336,19,70,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",20,"4",5e-04,0,0,4,2.24693374298292,0.420116968091621,1.78838896653114,21.5,71,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",21,"8",5e-04,0,0,4,2.163309689049,0.39884193587579,1.73108822539626,6,41,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",22,"16",5e-04,0,0,4,2.15731448413063,0.412778185478166,1.75142221886122,6,41,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",23,"32",5e-04,0,0,4,2.15817543293654,0.417466210199796,1.73206733942586,4.5,37,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",24,"8-4",5e-04,0,0,4,2.19458307924375,0.394726957681897,1.77056979050355,23,66,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",25,"16-8",5e-04,0,0,4,2.21534896816488,0.406845943320022,1.79324816255677,12,62,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",26,"32-16",5e-04,0,0,4,2.11300417104194,0.43677664976077,1.67480540028429,9.5,44,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",27,"64-32",5e-04,0,0,4,2.14416616538095,0.424928982975713,1.69916912554672,13,43,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",28,"2",0.001,0,0,4,2.33130596218308,0.371306945449958,1.87176323839659,11.5,42,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",29,"4",0.001,0,0,4,2.25770173756813,0.406794183686396,1.79117566610067,14.5,65,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",30,"8",0.001,0,0,4,2.18501597946595,0.410086556644324,1.75155932328561,4,35,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",31,"16",0.001,0,0,4,2.21578359918081,0.422715619836683,1.78649106011014,7,36,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",32,"32",0.001,0,0,4,2.12302386629587,0.468702743479878,1.68941783747992,8,44,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",33,"8-4",0.001,0,0,4,2.23206752176834,0.363327481443961,1.79918775834468,13.5,85,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",34,"16-8",0.001,0,0,4,2.193122878943,0.405120377995199,1.76760324666206,10,40,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",35,"32-16",0.001,0,0,4,2.15188947898607,0.42552900903604,1.71233333725557,5.5,36,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_0",36,"64-32",0.001,0,0,4,2.14916560359312,0.427435600607092,1.719146927963,7,38,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1",1,"32-16",0.000125,1e-05,0,4,2.11314101977768,0.428724177980372,1.68766000888148,45,95,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1",2,"32-16",0.000125,1e-04,0,4,2.10948589690182,0.428117469525828,1.68155228329023,46,92,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1",3,"32-16",0.000125,0.001,0,4,2.08526404207881,0.442311917048605,1.66603005482824,53.5,220,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1",4,"32-16",0.000125,0.01,0,4,2.01897612975181,0.526710479461729,1.62165445432383,471.5,804,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1",5,"32-16",0.000125,0.03,0,4,2.29817920768071,0.415565595739222,1.85599397738204,106,141,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1",6,"32-16",0.000125,0.1,0,4,2.31157759809804,NA,1.86709018756661,1049.5,2000,2,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L2",1,"32-16",0.000125,0,1e-05,4,2.11728416503812,0.425797072449981,1.69022452995632,45,94,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L2",2,"32-16",0.000125,0,1e-04,4,2.11943381749255,0.425787259758077,1.69446153251435,46,100,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L2",3,"32-16",0.000125,0,0.001,4,2.11520220046123,0.426634745251896,1.68877527145657,47.5,95,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L2",4,"32-16",0.000125,0,0.01,4,2.11017216266791,0.428940853053794,1.68330479953267,45.5,92,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",1,"32-16",0.000125,1e-05,1e-05,4,2.11359489638628,0.427508277329667,1.6886058710116,44.5,96,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",2,"32-16",0.000125,1e-04,1e-05,4,2.10988549698151,0.427057655980547,1.68232289663965,45.5,92,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",3,"32-16",0.000125,0.001,1e-05,4,2.08400438937292,0.443032156632615,1.66413029524538,52.5,204,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",4,"32-16",0.000125,0.01,1e-05,4,2.02117503297815,0.524891059583852,1.62353000595842,462.5,859,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",5,"32-16",0.000125,0.03,1e-05,4,2.29818406756061,0.414808341333616,1.8560240295558,105.5,140,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",6,"32-16",0.000125,0.1,1e-05,4,2.31157824984075,NA,1.86709089396214,1051,2000,2,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",7,"32-16",0.000125,1e-05,1e-04,4,2.11358632551707,0.428950592591482,1.68914467076051,44.5,98,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",8,"32-16",0.000125,1e-04,1e-04,4,2.11283509047873,0.425224502114707,1.68367255331009,47.5,101,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",9,"32-16",0.000125,0.001,1e-04,4,2.08432738326728,0.443025696055476,1.6658437760841,53,190,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",10,"32-16",0.000125,0.01,1e-04,4,2.021346495111,0.523651009785372,1.62387331803063,467.5,864,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",11,"32-16",0.000125,0.03,1e-04,4,2.29821070310354,0.414322897197398,1.85604158734401,106,140,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",12,"32-16",0.000125,0.1,1e-04,4,2.31157747600486,NA,1.86709015976302,1051,2000,2,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",13,"32-16",0.000125,1e-05,0.001,4,2.11418293968407,0.426410667584272,1.68845555631709,46.5,96,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",14,"32-16",0.000125,1e-04,0.001,4,2.10533624760899,0.429742989310851,1.67893961265185,44.5,90,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
"ANN_L1_L2",15,"32-16",0.000125,0.001,0.001,4,2.0880559481863,0.444856911364929,1.67089389260277,72,234,0,"ok","C1",1,2,"R01_F02","C1_R01_F02"
