"Scenario","Model","Metric","N","Mean_advantage","Median_advantage","ANN_better","Equal","GBLUP_better"
"C4","ANN_L1_L2","Phenotype_Bias",25,-0.0200897762064121,-0.000236523562438085,12,0,13
"C4","ANN_L1_L2","Phenotype_Slope",25,-0.0939325725696722,-0.0432930961655188,9,0,16
"C4","ANN_L1_L2","Phenotype_R2",25,-0.0386463498530076,-0.0327715143408006,2,0,23
"C5","ANN_L1_L2","Genetic_Correlation",25,-0.0163425090457433,-0.0248210091213528,10,0,15
"C5","ANN_L1_L2","Genetic_RMSE",25,-0.0325162171817371,-0.0330984519198541,4,0,21
"C5","ANN_L1_L2","Genetic_MAE",25,-0.0231903150083927,-0.021804238694258,5,0,20
"C5","ANN_L1_L2","Genetic_Bias",25,-0.0224599145366454,-0.011759449637135,8,0,17
"C5","ANN_L1_L2","Genetic_Slope",25,-0.17213089886937,-0.116170591840658,1,0,24
"C5","ANN_L1_L2","Genetic_R2",25,-0.0776952290786469,-0.0705635883547646,4,0,21
"C5","ANN_L1_L2","Phenotype_Correlation",25,-0.010906717309147,-0.0110391012965286,9,0,16
"C5","ANN_L1_L2","Phenotype_RMSE",25,-0.011985730563316,-0.00867090012414384,5,0,20
"C5","ANN_L1_L2","Phenotype_MAE",25,-0.00808006094784618,-0.00492880559316211,8,0,17
"C5","ANN_L1_L2","Phenotype_Bias",25,-0.0143749667704856,-0.011759449637135,7,0,18
"C5","ANN_L1_L2","Phenotype_Slope",25,-0.0988303087784415,-0.0981616778180521,8,0,17
"C5","ANN_L1_L2","Phenotype_R2",25,-0.0265987400539445,-0.0178120256165624,5,0,20
"C6","ANN_L1_L2","Genetic_Correlation",25,-0.0139129785766564,-0.01378754005266,6,0,19
"C6","ANN_L1_L2","Genetic_RMSE",25,-0.0260653569113492,-0.0259761731694779,3,0,22
"C6","ANN_L1_L2","Genetic_MAE",25,-0.0198380574200534,-0.0224488012536772,4,0,21
"C6","ANN_L1_L2","Genetic_Bias",25,-0.0268115580156364,-0.0210830233668084,8,0,17
"C6","ANN_L1_L2","Genetic_Slope",25,-0.0658736562550597,-0.0638474550648758,7,0,18
"C6","ANN_L1_L2","Genetic_R2",25,-0.0594645816415842,-0.0569881416265606,3,0,22
"C6","ANN_L1_L2","Phenotype_Correlation",25,-0.010907807862514,-0.0088945165666845,7,0,18
"C6","ANN_L1_L2","Phenotype_RMSE",25,-0.00959811379785261,-0.00968410071652448,5,0,20
"C6","ANN_L1_L2","Phenotype_MAE",25,-0.00591121508351124,-0.00784429765538464,6,0,19
"C6","ANN_L1_L2","Phenotype_Bias",25,-0.0188931966999813,-0.0200684829541232,10,0,15
"C6","ANN_L1_L2","Phenotype_Slope",25,-0.0539505618866098,-0.05888294276396,9,0,16
"C6","ANN_L1_L2","Phenotype_R2",25,-0.0239796985534357,-0.0219105300056969,5,0,20
"C1","ANN_L2","Genetic_Correlation",25,-0.145564579525446,-0.152723643575884,0,0,25
"C1","ANN_L2","Genetic_RMSE",25,-0.270943093452998,-0.286271232311134,0,0,25
"C1","ANN_L2","Genetic_MAE",25,-0.202883245989869,-0.218138714031571,0,0,25
"C1","ANN_L2","Genetic_Bias",25,-0.0562220023654204,-0.0530533618928258,8,0,17
"C1","ANN_L2","Genetic_Slope",25,-0.0922112943436201,-0.119036205583036,4,0,21
"C1","ANN_L2","Genetic_R2",25,-0.210164988634315,-0.218723174331308,0,0,25
"C1","ANN_L2","Phenotype_Correlation",25,-0.125674657531871,-0.127773577737281,0,0,25
"C1","ANN_L2","Phenotype_RMSE",25,-0.207671220824689,-0.214440416035395,0,0,25
"C1","ANN_L2","Phenotype_MAE",25,-0.165674178520468,-0.160011160963856,0,0,25
"C1","ANN_L2","Phenotype_Bias",25,-0.0568279507577843,-0.0654183867003082,7,0,18
"C1","ANN_L2","Phenotype_Slope",25,-0.0779398005315876,-0.111726578005308,7,0,18
"C1","ANN_L2","Phenotype_R2",25,-0.152947995892434,-0.159835065311559,0,0,25
"C2","ANN_L2","Genetic_Correlation",25,-0.0273070901971898,-0.0184387119619204,1,0,24
"C2","ANN_L2","Genetic_RMSE",25,-0.0485597370886128,-0.0431782960654933,0,0,25
"C2","ANN_L2","Genetic_MAE",25,-0.0370387302820988,-0.0263818463077458,0,0,25
"C2","ANN_L2","Genetic_Bias",25,-0.0322076436747782,-0.0200730063429373,8,0,17
"C2","ANN_L2","Genetic_Slope",25,-0.127357612798328,-0.104644100941571,4,0,21
"C2","ANN_L2","Genetic_R2",25,-0.0703327726883943,-0.0565214534465563,0,0,25
"C2","ANN_L2","Phenotype_Correlation",25,-0.0221535778597453,-0.0197573790143515,2,0,23
"C2","ANN_L2","Phenotype_RMSE",25,-0.0355044072234532,-0.0281222692030201,0,0,25
"C2","ANN_L2","Phenotype_MAE",25,-0.0314945236647363,-0.0257113829229292,1,0,24
"C2","ANN_L2","Phenotype_Bias",25,-0.0284593533730278,-0.017723506639175,7,0,18
"C2","ANN_L2","Phenotype_Slope",25,-0.118199381494801,-0.101604117601669,5,0,20
"C2","ANN_L2","Phenotype_R2",25,-0.0532224861963039,-0.0403821401387182,0,0,25
"C3","ANN_L2","Genetic_Correlation",25,-0.0159137891822842,-0.0126015795708994,6,0,19
"C3","ANN_L2","Genetic_RMSE",25,-0.0360478122809051,-0.0336430477975136,3,0,22
"C3","ANN_L2","Genetic_MAE",25,-0.0292450731585015,-0.0339080309326051,3,0,22
"C3","ANN_L2","Genetic_Bias",25,-0.0525745420955517,-0.0258286377818628,3,0,22
"C3","ANN_L2","Genetic_Slope",25,-0.113599931447892,-0.0849602572531274,5,0,20
"C3","ANN_L2","Genetic_R2",25,-0.0666264275675926,-0.0591975287715137,3,0,22
"C3","ANN_L2","Phenotype_Correlation",25,-0.00973855077780083,-0.00935507651096656,8,0,17
"C3","ANN_L2","Phenotype_RMSE",25,-0.0227523482691068,-0.027531111697544,6,0,19
"C3","ANN_L2","Phenotype_MAE",25,-0.0156580818614741,-0.0120141539066874,6,0,19
"C3","ANN_L2","Phenotype_Bias",25,-0.0492559508882841,-0.0254625863680415,5,0,20
