"Model","Architecture","Learning_rate","L1","L2","Inner_RMSE","Inner_Correlation","Inner_MAE","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_L1_L2","64-32",0.000125,0.01,1e-05,1.94016734280199,0.532147961355135,1.56532577007699,"C1",5,2,"R05_F02","C1_R05_F02"
"ANN_0","16",0.000125,0,0,2.05389140714402,0.439492820050405,1.64522159939764,"C1",5,3,"R05_F03","C1_R05_F03"
"ANN_L1","16",0.000125,0.01,0,1.93474584189565,0.522225930237715,1.55644827663373,"C1",5,3,"R05_F03","C1_R05_F03"
"ANN_L2","16",0.000125,0,0.01,2.04383942775324,0.446980090076841,1.62928958278601,"C1",5,3,"R05_F03","C1_R05_F03"
"ANN_L1_L2","16",0.000125,0.01,1e-04,1.93559464227451,0.521725187989495,1.55666843663828,"C1",5,3,"R05_F03","C1_R05_F03"
"ANN_0","64-32",0.000125,0,0,2.05794466892861,0.446897339284398,1.64234479570512,"C1",5,4,"R05_F04","C1_R05_F04"
"ANN_L1","64-32",0.000125,0.01,0,1.97802760844221,0.5099793491575,1.58649789442166,"C1",5,4,"R05_F04","C1_R05_F04"
"ANN_L2","64-32",0.000125,0,0.001,2.087106987153,0.437944186598007,1.64715476397664,"C1",5,4,"R05_F04","C1_R05_F04"
"ANN_L1_L2","64-32",0.000125,0.01,1e-04,1.96271153423458,0.519633900211052,1.56908539917622,"C1",5,4,"R05_F04","C1_R05_F04"
"ANN_0","64-32",0.001,0,0,2.09051192082299,0.469580499165152,1.68252163476138,"C1",5,5,"R05_F05","C1_R05_F05"
"ANN_L1","64-32",0.001,0.01,0,1.9680026646497,0.553134533229174,1.6049953948475,"C1",5,5,"R05_F05","C1_R05_F05"
"ANN_L2","64-32",0.001,0,0.01,2.11200958695903,0.461518996366105,1.70021531851051,"C1",5,5,"R05_F05","C1_R05_F05"
"ANN_L1_L2","64-32",0.001,0.01,0.001,1.94732792867992,0.563183101830697,1.57749490099179,"C1",5,5,"R05_F05","C1_R05_F05"
"ANN_0","32",0.00025,0,0,0.82083794408933,0.646822171821606,0.651832869102864,"C2",1,1,"R01_F01","C2_R01_F01"
"ANN_L1","32",0.00025,0.01,0,0.818203586828308,0.637933614688502,0.653478825235617,"C2",1,1,"R01_F01","C2_R01_F01"
"ANN_L2","32",0.00025,0,0.01,0.833196479471034,0.626339986963921,0.666652987666083,"C2",1,1,"R01_F01","C2_R01_F01"
"ANN_L1_L2","32",0.00025,0.01,1e-04,0.818201415643518,0.637940636954766,0.653496340491232,"C2",1,1,"R01_F01","C2_R01_F01"
"ANN_0","64-32",0.000125,0,0,0.821630587719618,0.646925905266608,0.643066206194989,"C2",1,2,"R01_F02","C2_R01_F02"
"ANN_L1","64-32",0.000125,1e-04,0,0.822766455997583,0.642330361558411,0.645724516316449,"C2",1,2,"R01_F02","C2_R01_F02"
"ANN_L2","64-32",0.000125,0,1e-04,0.823075277894533,0.642221480310338,0.645881947240072,"C2",1,2,"R01_F02","C2_R01_F02"
"ANN_L1_L2","64-32",0.000125,1e-04,0.001,0.822769838277525,0.642413703604148,0.645765907582326,"C2",1,2,"R01_F02","C2_R01_F02"
"ANN_0","64-32",0.000125,0,0,0.816408097896844,0.643650163147394,0.650942301068906,"C2",1,3,"R01_F03","C2_R01_F03"
"ANN_L1","64-32",0.000125,0.001,0,0.814080855037788,0.648983702374805,0.651147549101471,"C2",1,3,"R01_F03","C2_R01_F03"
"ANN_L2","64-32",0.000125,0,0.01,0.817490169951964,0.646407772917559,0.654483818810936,"C2",1,3,"R01_F03","C2_R01_F03"
"ANN_L1_L2","64-32",0.000125,0.001,0.01,0.814025586245968,0.649562110544531,0.651109359021867,"C2",1,3,"R01_F03","C2_R01_F03"
"ANN_0","64-32",0.000125,0,0,0.813934024306718,0.669193286067781,0.646367446888776,"C2",1,4,"R01_F04","C2_R01_F04"
"ANN_L1","64-32",0.000125,0.001,0,0.8083574983861,0.667708888699038,0.638370512980653,"C2",1,4,"R01_F04","C2_R01_F04"
"ANN_L2","64-32",0.000125,0,0.01,0.81091085526142,0.669050761655304,0.63931847777428,"C2",1,4,"R01_F04","C2_R01_F04"
"ANN_L1_L2","64-32",0.000125,0.001,1e-05,0.808352268149992,0.667714921107707,0.638382270684338,"C2",1,4,"R01_F04","C2_R01_F04"
"ANN_0","64-32",0.000125,0,0,0.8369870627684,0.646226558202129,0.657769613402327,"C2",1,5,"R01_F05","C2_R01_F05"
"ANN_L1","64-32",0.000125,0.001,0,0.826473119203828,0.657354255245232,0.654640601447498,"C2",1,5,"R01_F05","C2_R01_F05"
"ANN_L2","64-32",0.000125,0,1e-04,0.827971445224579,0.657404298575524,0.654392094517129,"C2",1,5,"R01_F05","C2_R01_F05"
"ANN_L1_L2","64-32",0.000125,0.001,1e-04,0.82621303978463,0.657295465555347,0.654066392876651,"C2",1,5,"R01_F05","C2_R01_F05"
