"Dataset","Scenario","QTL_N","H2_nominal","Repetition","Fold","SplitID","TaskID","Model","N_train","N_test","N_pred_finite","Genetic_Correlation","Genetic_RMSE","Genetic_MAE","Genetic_Bias","Genetic_Slope","Genetic_R2","GEBV_TrueG_Correlation","Phenotype_Correlation","Phenotype_RMSE","Phenotype_MAE","Phenotype_Bias","Phenotype_Slope","Phenotype_R2","Kernel_build_seconds","Fit_seconds","Predict_seconds","Status","Error"
"simulated","C3",80,0.5,4,1,"R04_F01","C3_R04_F01","GBLUP_ADE",800,200,200,0.823495981147693,0.363577438489942,0.291918608485614,-0.0340903236840675,0.999280126993686,0.675290560380907,0.823495981147692,0.564037288330498,0.76259481695076,0.620981208821121,-0.111024323684067,0.980021410761924,0.303237452146508,5.17,10.58,0.00999999999999091,"ok",NA
"simulated","C3",80,0.5,4,2,"R04_F02","C3_R04_F02","GBLUP_ADE",800,200,200,0.82920794598542,0.408047419470803,0.325225600500033,0.0146031414751359,0.994575916587051,0.687164696968076,0.82920794598542,0.65113693719659,0.733733072574191,0.594353550530628,0.0084376414751361,1.0344446467205,0.423432983214855,5.17,11.61,0.0400000000000773,"ok",NA
"simulated","C3",80,0.5,4,3,"R04_F03","C3_R04_F03","GBLUP_ADE",800,200,200,0.779197016235302,0.382611707525224,0.298381089614005,0.0230518077418269,0.901113635020955,0.598378618688947,0.779197016235302,0.571501427105652,0.676529284677315,0.554575815662026,0.082407307741828,0.8926700193135,0.311679320007866,5.17,14.16,0.0199999999999818,"ok",NA
"simulated","C3",80,0.5,4,4,"R04_F04","C3_R04_F04","GBLUP_ADE",800,200,200,0.840650605543885,0.43116281887397,0.348987386806392,-0.0578999552658026,1.1941357184857,0.68228584289565,0.840650605543885,0.68349608479863,0.779088901523567,0.62838868347941,-0.0473574552658022,1.31882659255581,0.437786867277851,5.17,12.63,0.0299999999999727,"ok",NA
"simulated","C3",80,0.5,4,5,"R04_F05","C3_R04_F05","GBLUP_ADE",800,200,200,0.798325881299467,0.436022161594144,0.351149437984433,0.0570750420904569,0.977006051572295,0.630642382682314,0.798325881299467,0.528292270006538,0.777704483672779,0.638327271249733,0.0702815420904565,0.813854200105299,0.258436199331404,5.17,11.5300000000001,0.0199999999999818,"ok",NA
"simulated","C3",80,0.5,5,1,"R05_F01","C3_R05_F01","GBLUP_ADE",800,200,200,0.815016154586116,0.411214135226192,0.335305621037182,0.0247174894438113,1.08669687114179,0.658790651541045,0.815016154586116,0.651362457203544,0.737624151738546,0.598831785032024,0.0362129894438117,1.18705925007023,0.412321014971324,5.17,12.76,0.129999999999995,"ok",NA
"simulated","C3",80,0.5,5,2,"R05_F02","C3_R05_F02","GBLUP_ADE",800,200,200,0.792380686007794,0.42182228094363,0.329969919474632,0.0844775682076871,0.947731359901744,0.610328711914572,0.792380686007794,0.609715779496371,0.711291585487972,0.585086020358397,0.138073068207687,0.949234227764651,0.346048488129896,5.17,12.78,0.0300000000000864,"ok",NA
"simulated","C3",80,0.5,5,3,"R05_F03","C3_R05_F03","GBLUP_ADE",800,200,200,0.809563033805646,0.410324241961774,0.332580062808688,-0.0518728055509704,1.01843932181851,0.649577081175029,0.809563033805647,0.639840268448002,0.726379517420452,0.584500112400041,-0.0252608055509695,1.09412386655256,0.405646993066214,5.17,11.2299999999999,0.0300000000000864,"ok",NA
"simulated","C3",80,0.5,5,4,"R05_F04","C3_R05_F04","GBLUP_ADE",800,200,200,0.82732977257746,0.398967569873844,0.310542572276778,-0.0224370567637901,1.0284034513949,0.682949698279329,0.827329772577459,0.55088933605722,0.776517131464235,0.637446556201254,-0.10847105676379,0.887276231536478,0.284621567057324,5.17,11.9299999999999,0.0299999999999727,"ok",NA
"simulated","C3",80,0.5,5,5,"R05_F05","C3_R05_F05","GBLUP_ADE",800,200,200,0.818121465149261,0.391312608955043,0.301745342290078,0.00442440547718881,1.02964155117499,0.668725672953948,0.818121465149261,0.556290990817071,0.772255506313604,0.633644418085911,-0.0012395945228112,0.956545290256512,0.308819230066783,5.17,11.8100000000001,0.139999999999986,"ok",NA
"simulated","C4",120,0.5,1,1,"R01_F01","C4_R01_F01","GBLUP_ADE",800,200,200,0.851352231782499,0.301757146459451,0.241624276089296,0.0298486294343667,0.974217950372469,0.721568720051425,0.851352231782499,0.604387940315216,0.650510758415159,0.544283404582598,0.0341896294343667,0.986060296646806,0.363453411926936,5.17,13.16,0.00999999999999091,"ok",NA
"simulated","C4",120,0.5,1,2,"R01_F02","C4_R01_F02","GBLUP_ADE",800,200,200,0.859203609217866,0.322526482059898,0.260626278254989,0.0160015350597009,0.978219087571147,0.737218022743102,0.859203609217867,0.620575341805167,0.732134099107866,0.589315733847942,-0.00603946494029898,1.04776285032071,0.384271572889337,5.17,11.88,0.0300000000000864,"ok",NA
"simulated","C4",120,0.5,1,3,"R01_F03","C4_R01_F03","GBLUP_ADE",800,200,200,0.886672674809939,0.275947556405402,0.2209248068483,-0.0180325944864273,1.1091145875165,0.777629625425205,0.886672674809939,0.636601647913385,0.68150857405553,0.556507228842459,0.00358340551357266,1.19203381864118,0.394727393133197,5.17,12.17,0.139999999999986,"ok",NA
"simulated","C4",120,0.5,1,4,"R01_F04","C4_R01_F04","GBLUP_ADE",800,200,200,0.855169028446369,0.303338577834767,0.241908325996341,0.0445748190997134,0.957601771666715,0.723918893378744,0.855169028446369,0.583090108628049,0.674462908221811,0.551019049401283,0.0999433190997131,0.927111492363166,0.323027682749174,5.17,10.5600000000001,0.0199999999999818,"ok",NA
"simulated","C4",120,0.5,1,5,"R01_F05","C4_R01_F05","GBLUP_ADE",800,200,200,0.867785456980007,0.288852164881171,0.230974560108898,-0.053152003730203,1.02402877284089,0.743967691160612,0.867785456980007,0.562186398491939,0.663867158691374,0.531727040744506,-0.112439003730202,0.91769015676825,0.293236694066982,5.17,10.5500000000001,0.00999999999999091,"ok",NA
"simulated","C4",120,0.5,2,1,"R02_F01","C4_R02_F01","GBLUP_ADE",800,200,200,0.890586434163316,0.262461992546443,0.207474365614724,0.00152501046793596,0.964816364230572,0.792082440056918,0.890586434163316,0.585160430674497,0.650106339762103,0.5433655382135,0.0196930104679361,0.878141547055977,0.335208969178296,5.17,13.05,0.00999999999999091,"ok",NA
"simulated","C4",120,0.5,2,2,"R02_F02","C4_R02_F02","GBLUP_ADE",800,200,200,0.845610774577023,0.307134611975324,0.239613941774842,-0.0199457061106541,0.997051336286701,0.713844505602752,0.845610774577023,0.632917815822777,0.663443056354368,0.524522656093233,0.0256197938893463,1.10937015523545,0.395790455089393,5.17,12.78,0.130000000000109,"ok",NA
"simulated","C4",120,0.5,2,3,"R02_F03","C4_R02_F03","GBLUP_ADE",800,200,200,0.838318298268195,0.31391496258742,0.250503992845194,-0.0321373561575527,0.996624958879806,0.699621287188304,0.838318298268194,0.62481446166253,0.697308521264361,0.560139262027088,-0.0394973561575524,1.15011795664514,0.381758622397311,5.17,10.5699999999999,0.0399999999999636,"ok",NA
"simulated","C4",120,0.5,2,4,"R02_F04","C4_R02_F04","GBLUP_ADE",800,200,200,0.856417690659389,0.319281142864778,0.245101715774209,0.045117747849404,1.01502623329583,0.727856184080939,0.85641769065939,0.582494503496036,0.702957122212506,0.569734216222939,0.0692187478494041,0.970549502042865,0.332515542821729,5.17,11.79,0.0199999999999818,"ok",NA
"simulated","C4",120,0.5,2,5,"R02_F05","C4_R02_F05","GBLUP_ADE",800,200,200,0.867330675019647,0.300298271501019,0.244513757738645,0.0182241193150978,1.01340304028359,0.751214666987274,0.867330675019646,0.583371097797633,0.696607473512502,0.585780919563913,-0.0622528806849028,0.966832148585507,0.334607330383788,5.17,12.8700000000001,0.0199999999999818,"ok",NA
"simulated","C4",120,0.5,3,1,"R03_F01","C4_R03_F01","GBLUP_ADE",800,200,200,0.86216233187565,0.28906783239853,0.226460153196323,-0.0389071708150595,0.972966159997662,0.738003740413477,0.86216233187565,0.599287155358308,0.670166375569974,0.538543769978419,-0.0587526708150595,0.998662170913861,0.354180802812703,5.17,13.8599999999999,0.1400000000001,"ok",NA
"simulated","C4",120,0.5,3,2,"R03_F02","C4_R03_F02","GBLUP_ADE",800,200,200,0.864706695785117,0.340645159723104,0.266899687113449,0.0277754502081383,1.05758265408024,0.743797706250286,0.864706695785117,0.651303854838056,0.733432124698368,0.596027027365017,0.0948369502081388,1.12901795131237,0.408771960314897,5.17,12.5,0.0299999999999727,"ok",NA
"simulated","C4",120,0.5,3,3,"R03_F03","C4_R03_F03","GBLUP_ADE",800,200,200,0.841034483192865,0.302944564311804,0.243969586743759,0.0784512107899011,0.917027846873812,0.680095061770821,0.841034483192864,0.557914131311035,0.703430238519288,0.582786629956878,0.110440210789901,0.950144409764047,0.292983395969457,5.17,14.29,0.0199999999999818,"ok",NA
"simulated","C4",120,0.5,3,4,"R03_F04","C4_R03_F04","GBLUP_ADE",800,200,200,0.871851179319066,0.283197488947373,0.224035947309467,-0.0158432926209979,0.987154209838512,0.75924224592718,0.871851179319065,0.567132565129119,0.6507554230874,0.530340908718591,-0.0659287926209981,0.869932707896556,0.307339829628071,5.17,11.3,0.0300000000002001,"ok",NA
"simulated","C4",120,0.5,3,5,"R03_F05","C4_R03_F05","GBLUP_ADE",800,200,200,0.853151708398247,0.301390064155896,0.241615591375782,-0.0277154392901267,1.0052202000909,0.725527155275385,0.853151708398247,0.591329556697563,0.670565380741744,0.548075607537047,-0.0568374392901269,1.00344292447291,0.344960503036998,5.17,11.8299999999999,0.0299999999999727,"ok",NA
"simulated","C4",120,0.5,4,1,"R04_F01","C4_R04_F01","GBLUP_ADE",800,200,200,0.828127014087842,0.309116249546885,0.244311413441261,0.0180249478035828,0.921222153909887,0.679690206367179,0.828127014087842,0.543858718785904,0.669801966408912,0.52745451439081,0.0581189478035824,0.87717823044048,0.284597049683129,5.17,10.52,0.120000000000118,"ok",NA
"simulated","C4",120,0.5,4,2,"R04_F02","C4_R04_F02","GBLUP_ADE",800,200,200,0.866013521030393,0.309430672235535,0.248539644599,0.00636167585893453,0.939437350086829,0.746755471975459,0.866013521030393,0.573558439849233,0.716008282880403,0.593409221465092,0.0251111758589351,0.879898875706052,0.322006445249804,5.17,9.41999999999985,0.0199999999999818,"ok",NA
"simulated","C4",120,0.5,4,3,"R04_F03","C4_R04_F03","GBLUP_ADE",800,200,200,0.831910071541329,0.295259792560493,0.229902978172056,-0.0429011102488344,0.905283955031575,0.677694027965676,0.831910071541329,0.549081152275797,0.694801530872443,0.57528986325873,-0.111597110248834,0.941928441663678,0.281816540143569,5.17,10.22,0.0299999999999727,"ok",NA
"simulated","C4",120,0.5,4,4,"R04_F04","C4_R04_F04","GBLUP_ADE",800,200,200,0.87721899073802,0.304246249063061,0.242919156868287,-0.0559762278318113,1.07425130846286,0.757632748709753,0.87721899073802,0.650732301125335,0.687988137704689,0.560919812334319,-0.0554897278318116,1.15677365820918,0.411848709975129,5.17,12.6700000000001,0.0199999999999818,"ok",NA
"simulated","C4",120,0.5,4,5,"R04_F05","C4_R04_F05","GBLUP_ADE",800,200,200,0.873009991777813,0.312337129081702,0.253410071145889,0.0752130324781832,1.06535356481687,0.744460101297056,0.873009991777813,0.658871587228092,0.652010931350495,0.533456113276255,0.0845765324781831,1.11391138933593,0.419809500771457,5.17,11.23,0.0199999999999818,"ok",NA
