"Scenario","Repetition","Fold","SplitID","TaskID","Model","Architecture","Learning_rate","L1","L2","Best_epoch","Last_epoch","Stopped_by_patience","Hit_epoch_ceiling","Validation_RMSE","Validation_Correlation","N_epoch_fit","N_epoch_validation","Fit_seconds"
"C2",1,2,"R01_F02","C2_R01_F02","ANN_L1","64-32",0.000125,1e-04,0,13,38,TRUE,FALSE,0.793768597247918,0.667401569582036,680,120,0.509999999999991
"C2",1,2,"R01_F02","C2_R01_F02","ANN_L2","64-32",0.000125,0,1e-04,13,38,TRUE,FALSE,0.794019931800571,0.667227278341551,680,120,0.420000000000073
"C2",1,2,"R01_F02","C2_R01_F02","ANN_L1_L2","64-32",0.000125,1e-04,0.001,13,38,TRUE,FALSE,0.793775182112597,0.667373954801722,680,120,0.449999999999932
"C2",1,3,"R01_F03","C2_R01_F03","ANN_0","64-32",0.000125,0,0,13,38,TRUE,FALSE,0.881103068379243,0.608323247024186,680,120,0.389999999999986
"C2",1,3,"R01_F03","C2_R01_F03","ANN_L1","64-32",0.000125,0.001,0,14,39,TRUE,FALSE,0.883637161058908,0.60614252499245,680,120,0.490000000000009
"C2",1,3,"R01_F03","C2_R01_F03","ANN_L2","64-32",0.000125,0,0.01,13,38,TRUE,FALSE,0.881445564176028,0.607967746935861,680,120,0.399999999999977
"C2",1,3,"R01_F03","C2_R01_F03","ANN_L1_L2","64-32",0.000125,0.001,0.01,14,39,TRUE,FALSE,0.883603492117985,0.606780663999474,680,120,0.710000000000036
"C2",1,4,"R01_F04","C2_R01_F04","ANN_0","64-32",0.000125,0,0,30,55,TRUE,FALSE,0.920356046011306,0.637196104259427,680,120,0.669999999999959
"C2",1,4,"R01_F04","C2_R01_F04","ANN_L1","64-32",0.000125,0.001,0,88,113,TRUE,FALSE,0.903459898492007,0.655120805478929,680,120,2.41999999999996
"C2",1,4,"R01_F04","C2_R01_F04","ANN_L2","64-32",0.000125,0,0.01,31,56,TRUE,FALSE,0.918007916769918,0.639533104037768,680,120,1.04999999999995
"C2",1,4,"R01_F04","C2_R01_F04","ANN_L1_L2","64-32",0.000125,0.001,1e-05,85,110,TRUE,FALSE,0.903819857061194,0.654570970650502,680,120,1.67999999999995
"C2",1,5,"R01_F05","C2_R01_F05","ANN_0","64-32",0.000125,0,0,10,35,TRUE,FALSE,0.785797863317093,0.666401767862187,680,120,0.569999999999936
"C2",1,5,"R01_F05","C2_R01_F05","ANN_L1","64-32",0.000125,0.001,0,11,36,TRUE,FALSE,0.78534645611499,0.666637342285214,680,120,0.559999999999945
"C2",1,5,"R01_F05","C2_R01_F05","ANN_L2","64-32",0.000125,0,1e-04,10,35,TRUE,FALSE,0.785719504077958,0.666495129799973,680,120,0.840000000000032
"C2",1,5,"R01_F05","C2_R01_F05","ANN_L1_L2","64-32",0.000125,0.001,1e-04,11,36,TRUE,FALSE,0.785316231978935,0.666673166755249,680,120,0.659999999999968
"C2",2,1,"R02_F01","C2_R02_F01","ANN_0","64-32",0.000125,0,0,22,47,TRUE,FALSE,0.78937123631006,0.692623751801737,680,120,0.75
"C2",2,1,"R02_F01","C2_R02_F01","ANN_L1","64-32",0.000125,0.001,0,23,48,TRUE,FALSE,0.792929975966106,0.693421112769643,680,120,0.960000000000036
"C2",2,1,"R02_F01","C2_R02_F01","ANN_L2","64-32",0.000125,0,0.01,22,47,TRUE,FALSE,0.789216133097014,0.692986014412922,680,120,0.580000000000041
"C2",2,1,"R02_F01","C2_R02_F01","ANN_L1_L2","64-32",0.000125,0.001,0.01,24,49,TRUE,FALSE,0.794281373873504,0.693057609739693,680,120,0.75
"C2",2,2,"R02_F02","C2_R02_F02","ANN_0","32-16",0.000125,0,0,23,48,TRUE,FALSE,0.826258981402596,0.69364482287168,680,120,0.700000000000045
"C2",2,2,"R02_F02","C2_R02_F02","ANN_L1","32-16",0.000125,1e-05,0,23,48,TRUE,FALSE,0.826080515998785,0.693764748795122,680,120,0.67999999999995
"C2",2,2,"R02_F02","C2_R02_F02","ANN_L2","32-16",0.000125,0,0.01,23,48,TRUE,FALSE,0.826001269310774,0.693911295112363,680,120,0.580000000000041
"C2",2,2,"R02_F02","C2_R02_F02","ANN_L1_L2","32-16",0.000125,1e-04,0.001,23,48,TRUE,FALSE,0.826985470525545,0.692921798477394,680,120,0.580000000000041
"C2",2,3,"R02_F03","C2_R02_F03","ANN_0","4",0.000125,0,0,34,59,TRUE,FALSE,0.933357425657582,0.650532823668442,680,120,0.5
"C2",2,3,"R02_F03","C2_R02_F03","ANN_L1","4",0.000125,0.01,0,37,62,TRUE,FALSE,0.933687720386747,0.651360029256259,680,120,0.689999999999941
"C2",2,3,"R02_F03","C2_R02_F03","ANN_L2","4",0.000125,0,1e-04,34,59,TRUE,FALSE,0.933357808966092,0.650532662228896,680,120,0.509999999999991
"C2",2,3,"R02_F03","C2_R02_F03","ANN_L1_L2","4",0.000125,0.01,0.01,37,62,TRUE,FALSE,0.933736771047884,0.651384016573923,680,120,0.5
"C2",2,4,"R02_F04","C2_R02_F04","ANN_0","16-8",5e-04,0,0,17,42,TRUE,FALSE,0.810272958255601,0.680174101871638,680,120,0.459999999999923
"C2",2,4,"R02_F04","C2_R02_F04","ANN_L1","16-8",5e-04,0.001,0,17,42,TRUE,FALSE,0.822310281971695,0.666736713319748,680,120,0.549999999999955
"C2",2,4,"R02_F04","C2_R02_F04","ANN_L2","16-8",5e-04,0,0.01,17,42,TRUE,FALSE,0.814103504093216,0.676621127343453,680,120,0.440000000000055
"C2",2,4,"R02_F04","C2_R02_F04","ANN_L1_L2","16-8",5e-04,0.001,0.01,17,42,TRUE,FALSE,0.817125748203605,0.671170953169596,680,120,0.549999999999955
"C2",2,5,"R02_F05","C2_R02_F05","ANN_0","32",0.000125,0,0,5,30,TRUE,FALSE,0.841752976337443,0.601341269764112,680,120,0.259999999999991
"C2",2,5,"R02_F05","C2_R02_F05","ANN_L1","32",0.000125,0.01,0,7,32,TRUE,FALSE,0.844676265907821,0.598738683891306,680,120,0.269999999999982
"C2",2,5,"R02_F05","C2_R02_F05","ANN_L2","32",0.000125,0,1e-05,5,30,TRUE,FALSE,0.841752829236836,0.601341446434751,680,120,0.25
"C2",2,5,"R02_F05","C2_R02_F05","ANN_L1_L2","32",0.000125,0.01,0.01,7,32,TRUE,FALSE,0.844864449976831,0.598584423072124,680,120,0.360000000000014
"C2",3,1,"R03_F01","C2_R03_F01","ANN_0","32-16",0.000125,0,0,12,37,TRUE,FALSE,0.870951545459223,0.552508820374672,680,120,0.469999999999914
"C2",3,1,"R03_F01","C2_R03_F01","ANN_L1","32-16",0.000125,0.001,0,12,37,TRUE,FALSE,0.869897535960122,0.553375700658473,680,120,0.439999999999941
"C2",3,1,"R03_F01","C2_R03_F01","ANN_L2","32-16",0.000125,0,1e-04,12,37,TRUE,FALSE,0.870899893023444,0.5526119480543,680,120,0.449999999999932
"C2",3,1,"R03_F01","C2_R03_F01","ANN_L1_L2","32-16",0.000125,0.001,1e-04,12,37,TRUE,FALSE,0.869897497002124,0.553373503063665,680,120,0.480000000000018
"C2",3,2,"R03_F02","C2_R03_F02","ANN_0","64-32",0.00025,0,0,17,42,TRUE,FALSE,0.809430387281988,0.617347899630195,680,120,0.530000000000086
