"Model","CandidateID","Architecture","Learning_rate","L1","L2","InnerFold","RMSE","Correlation","MAE","EarlyStop_epoch","Last_epoch","Stopped_by_patience","Hit_epoch_ceiling","Fit_seconds","Prediction_seconds","Status","Error","Scenario","Repetition","Fold","SplitID","TaskID"
"ANN_0",22,"16",5e-04,0,0,3,2.22694570684465,0.431047540857335,1.74954709135376,4,29,TRUE,FALSE,0.229999999999997,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",22,"16",5e-04,0,0,4,2.04521881009089,0.391588369466775,1.63169988014492,1,26,TRUE,FALSE,0.189999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",23,"32",5e-04,0,0,1,2.11437304943889,0.465618330916006,1.67047308694451,17,42,TRUE,FALSE,0.310000000000002,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",23,"32",5e-04,0,0,2,2.16997539042174,0.375309558450791,1.71968265262438,5,30,TRUE,FALSE,0.219999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",23,"32",5e-04,0,0,3,2.25493131485975,0.422294547669301,1.79471680138432,3,28,TRUE,FALSE,0.240000000000002,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",23,"32",5e-04,0,0,4,2.10200258346149,0.377466307127633,1.72046622719776,5,30,TRUE,FALSE,0.219999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",24,"8-4",5e-04,0,0,1,2.05207609469034,0.442542189082179,1.63787122966228,13,38,TRUE,FALSE,0.439999999999998,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",24,"8-4",5e-04,0,0,2,2.24142150221508,0.34405764939686,1.79664604653574,21,46,TRUE,FALSE,0.559999999999995,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",24,"8-4",5e-04,0,0,3,2.50429397247528,0.367569556664069,2.02849165785323,7,32,TRUE,FALSE,0.369999999999997,0.0200000000000031,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",24,"8-4",5e-04,0,0,4,2.06256138343327,0.367775855817712,1.66244674096462,8,33,TRUE,FALSE,0.369999999999997,0.0200000000000031,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
"ANN_0",25,"16-8",5e-04,0,0,1,2.03435680995965,0.479094452037429,1.59655960374915,12,37,TRUE,FALSE,0.359999999999999,0,"ok",NA,"C1",1,1,"R01_F01","C1_R01_F01"
