"Dataset","Scenario","QTL_N","H2_nominal","Repetition","Fold","SplitID","TaskID","Model","Architecture","Learning_rate","L1","L2","Best_epoch","Epoch_Last","Epoch_Stopped_by_patience","Epoch_Hit_ceiling","Inner_RMSE","Inner_Correlation","Inner_MAE","N_train","N_test","N_pred_finite","N_zero_variance_markers","Genetic_Correlation","Genetic_RMSE","Genetic_MAE","Genetic_Bias","Genetic_Slope","Genetic_R2","Phenotype_Correlation","Phenotype_RMSE","Phenotype_MAE","Phenotype_Bias","Phenotype_Slope","Phenotype_R2","Epoch_selection_seconds","Final_fit_seconds","Predict_seconds","Status","Error"
"simulated","C4",120,0.5,3,2,"R03_F02","C4_R03_F02","ANN_L2","64-32",0.00025,0,0.001,7,32,TRUE,FALSE,0.682598081858437,0.569677782454287,0.557801309596818,800,200,200,0,0.867284527761804,0.34610767158842,0.28075438054726,-0.0273635202206108,0.876206797249275,0.735515015989612,0.666456252288626,0.712898334785867,0.572852131577601,0.0396979797793896,0.954307566416955,0.441413588451584,0.469999999999914,0.0800000000000409,0,"ok",NA
"simulated","C4",120,0.5,3,2,"R03_F02","C4_R03_F02","ANN_L1_L2","64-32",0.00025,0.001,0.01,9,34,TRUE,FALSE,0.681268997397551,0.568030314977445,0.55470624261473,800,200,200,0,0.865412037312124,0.352570336607192,0.286524322842987,-0.017162274438255,0.85160194719037,0.725545655782475,0.664705880352232,0.716113778053104,0.577745836578461,0.0498992255617454,0.927075141974606,0.436363349496649,0.519999999999982,0.139999999999986,0,"ok",NA
"simulated","C4",120,0.5,3,3,"R03_F03","C4_R03_F03","ANN_0","32-16",0.000125,0,0,40,65,TRUE,FALSE,0.689323814683959,0.601899945441527,0.557190558438569,800,200,200,0,0.804322002304077,0.356974622749353,0.2918659305873,0.0841067353848455,0.757270506496808,0.55580946322824,0.522278203753467,0.734745750988787,0.609827238014788,0.116095735384846,0.768027074341655,0.228631832444079,1.07999999999993,0.470000000000027,0,"ok",NA
"simulated","C4",120,0.5,3,3,"R03_F03","C4_R03_F03","ANN_L1","32-16",0.000125,0.001,0,55,80,TRUE,FALSE,0.689880386478704,0.60255370776813,0.559038167336408,800,200,200,0,0.795516517939288,0.358200092644321,0.293028396370956,0.110647693029826,0.804405255713217,0.552754475894833,0.519502011765447,0.735098283747824,0.611962637967866,0.142636693029827,0.82047710361247,0.227891446303926,1.34000000000003,0.540000000000077,0,"ok",NA
"simulated","C4",120,0.5,3,3,"R03_F03","C4_R03_F03","ANN_L2","32-16",0.000125,0,1e-04,40,65,TRUE,FALSE,0.691503944214207,0.600431679966028,0.560478431920164,800,200,200,0,0.804217946767678,0.356957099162671,0.291856674983497,0.0841144953666714,0.757545134877182,0.55585307204426,0.521646963465298,0.735105364234064,0.609962532250358,0.116103495366672,0.767476296441085,0.227876572292004,0.920000000000073,0.600000000000023,0,"ok",NA
"simulated","C4",120,0.5,3,3,"R03_F03","C4_R03_F03","ANN_L1_L2","32-16",0.000125,0.001,1e-05,57,82,TRUE,FALSE,0.689389255502845,0.603403704391754,0.558725786777811,800,200,200,0,0.794078482715432,0.359146546936997,0.293689517006292,0.110044566979278,0.802979754902004,0.550387884239667,0.518728767141368,0.735445090613403,0.611930156332796,0.142033566979278,0.819285060492056,0.227162739085906,1.07999999999993,0.569999999999936,0,"ok",NA
"simulated","C4",120,0.5,3,4,"R03_F04","C4_R03_F04","ANN_0","16-8",0.000125,0,0,28,53,TRUE,FALSE,0.711993421529022,0.582392278467183,0.577588580386579,800,200,200,0,0.798748204887885,0.354231240609509,0.276863790777258,-0.0583450116127134,0.922825582128621,0.62331770554389,0.516363091891038,0.685061020163168,0.562400475149874,-0.108430511612714,0.808208390012943,0.232385557532817,0.620000000000005,0.310000000000059,0,"ok",NA
"simulated","C4",120,0.5,3,4,"R03_F04","C4_R03_F04","ANN_L1","16-8",0.000125,1e-05,0,28,53,TRUE,FALSE,0.718721890168245,0.582912215394642,0.585870877059129,800,200,200,0,0.798922739182236,0.354137436350111,0.277015107606833,-0.0586087537998564,0.922946722951403,0.62351717821114,0.516797722676978,0.684861039438831,0.562242126757906,-0.108694253799857,0.808818120960518,0.232833651007453,0.590000000000032,0.260000000000105,0,"ok",NA
"simulated","C4",120,0.5,3,4,"R03_F04","C4_R03_F04","ANN_L2","16-8",0.000125,0,1e-04,28,53,TRUE,FALSE,0.721261458015028,0.58195501254357,0.587949425243774,800,200,200,0,0.798785846494277,0.354197096217296,0.276815057961316,-0.0583815941516389,0.923031157876764,0.623390318948142,0.516605017399363,0.68491661395776,0.562187841190041,-0.108467094151639,0.808729065485445,0.232709139235929,0.610000000000014,0.25,0.0199999999999818,"ok",NA
"simulated","C4",120,0.5,3,4,"R03_F04","C4_R03_F04","ANN_L1_L2","16-8",0.000125,1e-05,1e-05,29,54,TRUE,FALSE,0.718306601596166,0.58358786003567,0.585531137941328,800,200,200,0,0.800892683783329,0.351917534854512,0.275701734463266,-0.0568408521703883,0.931140804874354,0.628222330730314,0.517340247019032,0.683838969356014,0.560908560956718,-0.106926352170388,0.814846361021761,0.235121743465438,0.710000000000036,0.32000000000005,0,"ok",NA
"simulated","C4",120,0.5,3,5,"R03_F05","C4_R03_F05","ANN_0","64-32",0.000125,0,0,9,34,TRUE,FALSE,0.702817402867256,0.582533492937405,0.572803868849377,800,200,200,0,0.852849130471014,0.398087864404286,0.314777513207737,0.221311904171312,1.39447473986979,0.521150102828955,0.61449918109438,0.699231098774878,0.562428552342654,0.192189904171312,1.44706451736548,0.287759439838873,0.389999999999986,0.100000000000023,0,"ok",NA
